경찰서명,년월일,신고수,유동인구수01_06시간대,유동인구수07_12시간대,유동인구수13_18시간대,유동인구수19_00시간대,연령대유동인구수_10대,연령대유동인구수_20대,연령대유동인구수_30대,연령대유동인구수_40대,연령대유동인구수_50대,연령대유동인구수_60대,연령대유동인구수_70대이상
서울강서경찰서,20181231,317,163209.91,664969.06,915551.65,488244.82,114886.74,316351.15,480804.79,478349.74,445287.02,295631.96,100738.61
서울강서경찰서,20181230,280,153248.24,493219.24,755813.29,377149.98,109469.67,263612.2,378100.94,349042.62,339371.77,248906.01,91008.7
서울강서경찰서,20181229,349,190760.98,580557.17,809918.95,442490.16,115999.5,297489.09,433161.8,415365.49,402625.95,272091.49,87065.01
서울강서경찰서,20181228,386,202423.95,758161.96,896696.17,531185.34,109050.79,328470.32,516225.1,529795.48,485318.95,317405.09,102267.52
서울강서경찰서,20181227,304,221962.91,792231.23,881770.66,501399.42,92781.88,313515.3,512563.84,543392.99,493024.47,327452.75,114704.23
서울강서경찰서,20181226,297,207243.82,801749.07,891878.62,481239.98,99589.37,325303.68,506849.26,530317.96,487087.4,322665.52,110364.52
서울강서경찰서,20181225,296,168005.58,510404.44,792679.33,392664.45,133665.81,289158.78,390041.89,362267.91,353754.52,249332.78,85603.53
서울강서경찰서,20181224,306,186946.88,722332.6,961796.48,515593.28,113940.26,341267.71,512143.46,514634.71,478347.77,319297.65,107108.56
서울강서경찰서,20181223,324,157257.06,502651.2,765993.68,385111.16,119230.58,279886.53,387907.49,351632.51,345616.91,242122.35,84684.34
서울강서경찰서,20181222,384,209337.77,682274.2,961491.67,431304.29,130887.1,318070.24,481661.14,473271.78,455762.79,317972.84,106846.72
서울강서경찰서,20181221,392,215167.57,801881.24,974747.05,568854.51,110446.44,347902.95,550302.93,569232.3,525631.93,342762.94,114437.57
서울강서경찰서,20181220,336,218715.23,790254.1,890802.42,505933.26,99730.59,325094.8,525928.38,551242.01,494320.23,305223.26,104229.17
서울강서경찰서,20181219,326,221373.11,821322.71,927613.75,514411.02,99862.37,324746.24,528307.09,555640.11,516425.6,343436.8,116365.71
서울강서경찰서,20181218,316,217032.2,832739.31,908186,509247.15,99271.91,322627.67,520324.7,552344.06,513575.15,343777.47,115356.04
서울강서경찰서,20181217,294,215498.46,817572.61,888896.99,467408.63,96337.57,316136.68,509231.11,529890,496426.26,330013.8,111421.04
서울강서경찰서,20181216,317,160287.15,503749.94,743771.04,380742.9,106286.3,265663.42,385264.79,353229.7,351540.6,244580.69,82054.63
서울강서경찰서,20181215,320,204008.03,678916.74,1005635.22,496708.69,125402.32,327514.87,513837.72,495005.05,487887.58,329308.3,106385.04
서울강서경찰서,20181214,261,212994.77,809532.7,962445.99,569081.12,112981.18,339015.82,549999.14,568839.22,527058.08,343515.42,112707.76
서울강서경찰서,20181213,273,226175.85,811086.99,911921.15,516826.27,98757.8,329190.41,533159.65,557712.31,509317.53,327512.12,110422.57
