영업상태명,소재지면적,소재지우편번호,지번주소,사업장명,좌표정보(X),좌표정보(Y),행정동
영업/정상,6.6,157861,서울특별시 강서구 염창동 244-15번지 (지상1층) ,지에스25 염창빌리지점,188508.5026,450136.9733,염창동
영업/정상,6.6,157910,서울특별시 강서구 화곡동 914-35번지 (지상1층) ,세븐일레븐 화곡 원룸점,186180.0863,447453.9524,화곡동
영업/정상,6.6,157915,서울특별시 강서구 화곡동 981-15번지 (지상1층) ,GS25 화곡도담,186541.8767,449724.4693,화곡동
영업/정상,6.6,157867,서울특별시 강서구 화곡동 55-88번지 (지상1층) ,세븐일레븐 화곡본동점,186539.7854,448750.3797,화곡동
영업/정상,6.6,157210,서울특별시 강서구 마곡동 795-5번지 마곡사이언스파크뷰 (지상 1층) 104호,GS25 마곡파크뷰점,185514.0,450890.0,마곡동
영업/정상,6.6,157928,서울특별시 강서구 화곡동 1115-8번지 (지상1층) ,씨유 화곡정원점,186853.0738,450149.1288,화곡동
영업/정상,6.6,157210,서울특별시 강서구 마곡동 773-1번지 가양1동 ,씨유 마곡푸르지오점,184756.0,450942.0,마곡동
영업/정상,9,157801,서울특별시 강서구 가양동 194-2번지 양천향교지웰에스테이트 (지상 1층) 101호,GS25가양향교점,185867.5,452099.7657,가양동
영업/정상,3.3,157-210,서울특별시 강서구 마곡동 746-1 마곡엠밸리12단지 판매시설1동(1206동) 103호,세븐일레븐 마곡홈앤쇼핑점,184285.2005,450783.3263,마곡동
영업/정상,6.6,157866,서울특별시 강서구 화곡동 24-126번지 (지상1층) ,GS25 화곡공원점,186306.3886,449335.2175,화곡동
영업/정상,9,157916,서울특별시 강서구 화곡동 1096-29번지 카이도빌딩 (지상 1층) ,미니스톱 강서IT점,186755.5371,450377.8509,화곡동
영업/정상,3.3,157839,"서울특별시 강서구 등촌동 636-21 (지상1층, 1동) ",씨유 등촌행복점,187648.2931,450319.0796,등촌동
영업/정상,3.3,157839,서울특별시 강서구 등촌동 633-17번지 등촌투웨니퍼스트2차(지상1층) 가양1동 202동 101호,씨유 등촌오피스점,188027.6554,450190.3592,등촌동
영업/정상,3.3,157866,서울특별시 강서구 화곡동 26-8 다산빌딩 (지상 1층) ,씨유소나무 공원점,186435.0758,449427.1053,화곡동
영업/정상,3.3,157866,서울특별시 강서구 화곡동 24-108번지 (지상 1층) ,GS 화곡미소점,186401.1994,449319.2764,화곡동
영업/정상,9.9,157930,서울특별시 강서구 등촌동 695-1번지 (지상 1층) 101호,씨유 등촌5단지점,186236.3993,451054.4371,등촌동
영업/정상,3.3,157210,서울특별시 강서구 마곡동 760-0번지 마곡나루역보타닉푸르지오시티 (지상 1층) 109호,GS25마곡보타닉,184650.0,451667.0,마곡동
영업/정상,3.3,157818,서울특별시 강서구 공항동 669-5번지 (지상 1층) ,GS25공항행복점,183551.6908,450463.4173,공항동
영업/정상,6.6,157806,서울특별시 강서구 가양동 1461번지 상가동 101호,씨유 강서웨스턴점,186429.3278,452034.2757,가양동
영업/정상,3.3,157811,서울특별시 강서구 공항동 27-1번지 준명빌딩 (지상 1층) ,씨유송정역점,183335.6271,451044.2889,공항동
영업/정상,3.3,157884,서울특별시 강서구 화곡동 367-62번지 길성이엔이 (지상 1층) 101호,이마트24 화곡점,185985.1156,448450.3993,화곡동
영업/정상,3.3,157856,서울특별시 강서구 방화동 813-3 (지상1층) ,GS25 방화상춘점,183200.4642,452658.4004,방화동
